name,cbb_url,nba_url
Joe Chealey,https://www.sports-reference.com/cbb/players/joe-chealey-1.html,https://www.basketball-reference.com/players/c/chealjo01.html
Matt Mooney,https://www.sports-reference.com/cbb/players/matt-mooney-1.html,https://www.basketball-reference.com/players/m/moonema01.html
Terry Rozier,https://www.sports-reference.com/cbb/players/terry-rozier-1.html,https://www.basketball-reference.com/players/r/roziete01.html
Devonte' Cacok,https://www.sports-reference.com/cbb/players/devontae-cacok-1.html,https://www.basketball-reference.com/players/c/cacokde01.html
Kendrick Nunn,https://www.sports-reference.com/cbb/players/kendrick-nunn-1.html,https://www.basketball-reference.com/players/n/nunnke01.html
Rui Hachimura,https://www.sports-reference.com/cbb/players/rui-hachimura-1.html,https://www.basketball-reference.com/players/h/hachiru01.html
Corey Kispert,https://www.sports-reference.com/cbb/players/corey-kispert-1.html,https://www.basketball-reference.com/players/k/kispeco01.html
Sean Kilpatrick,https://www.sports-reference.com/cbb/players/sean-kilpatrick-1.html,https://www.basketball-reference.com/players/k/kilpase01.html
Andrew Nicholson,https://www.sports-reference.com/cbb/players/andrew-nicholson-1.html,https://www.basketball-reference.com/players/n/nichoan01.html
Mike Conley,https://www.sports-reference.com/cbb/players/mike-conley-1.html,https://www.basketball-reference.com/players/c/conlemi01.html
Paul George,https://www.sports-reference.com/cbb/players/paul-george-1.html,https://www.basketball-reference.com/players/g/georgpa01.html
Kawhi Leonard,https://www.sports-reference.com/cbb/players/kawhi-leonard-1.html,https://www.basketball-reference.com/players/l/leonaka01.html
Bradley Beal,https://www.sports-reference.com/cbb/players/bradley-beal-1.html,https://www.basketball-reference.com/players/b/bealbr01.html
Nikola Vucevic,https://www.sports-reference.com/cbb/players/nikola-vucevic-1.html,https://www.basketball-reference.com/players/v/vucevni01.html
Tobias Harris,https://www.sports-reference.com/cbb/players/tobias-harris-1.html,https://www.basketball-reference.com/players/h/harrito02.html
Eric Bledsoe,https://www.sports-reference.com/cbb/players/eric-bledsoe-1.html,https://www.basketball-reference.com/players/b/bledser01.html
Steven Adams,https://www.sports-reference.com/cbb/players/steven-adams-1.html,https://www.basketball-reference.com/players/a/adamsst01.html
Nik Stauskas,https://www.sports-reference.com/cbb/players/nik-stauskas-1.html,https://www.basketball-reference.com/players/s/stausni01.html
Pat Connaughton,https://www.sports-reference.com/cbb/players/pat-connaughton-1.html,https://www.basketball-reference.com/players/c/connapa01.html
Will Barton,https://www.sports-reference.com/cbb/players/will-barton-1.html,https://www.basketball-reference.com/players/b/bartowi01.html
Avery Bradley,https://www.sports-reference.com/cbb/players/avery-bradley-1.html,https://www.basketball-reference.com/players/b/bradlav01.html
Cory Joseph,https://www.sports-reference.com/cbb/players/cory-joseph-1.html,https://www.basketball-reference.com/players/j/josepco01.html
Trevor Ariza,https://www.sports-reference.com/cbb/players/trevor-ariza-1.html,https://www.basketball-reference.com/players/a/arizatr01.html
DeMarre Carroll,https://www.sports-reference.com/cbb/players/demarre-carroll-1.html,https://www.basketball-reference.com/players/c/carrode01.html
Patrick Beverley,https://www.sports-reference.com/cbb/players/patrick-beverley-1.html,https://www.basketball-reference.com/players/b/beverpa01.html
Ed Davis,https://www.sports-reference.com/cbb/players/ed-davis-1.html,https://www.basketball-reference.com/players/d/davised01.html
Wesley Matthews,https://www.sports-reference.com/cbb/players/wesley-matthews-1.html,https://www.basketball-reference.com/players/m/matthwe02.html
Trevor Booker,https://www.sports-reference.com/cbb/players/trevor-booker-1.html,https://www.basketball-reference.com/players/b/booketr01.html
Joe Johnson,https://www.sports-reference.com/cbb/players/joe-johnson-1.html,https://www.basketball-reference.com/players/j/johnsjo02.html
Marcus Morris,https://www.sports-reference.com/cbb/players/marcus-morris-1.html,https://www.basketball-reference.com/players/m/morrima02.html
Khris Middleton,https://www.sports-reference.com/cbb/players/khris-middleton-1.html,https://www.basketball-reference.com/players/m/middlkh01.html
Jeff Withey,https://www.sports-reference.com/cbb/players/jeff-withey-1.html,https://www.basketball-reference.com/players/w/witheje01.html
